T,current_km,best_km
4999.95,35888.4361125,35888.4361125
4900.9438665,44289.6271592,30605.6272736
4803.8981955,38262.1368376,26540.7876594
4708.77416705,42608.6880187,26540.7876594
4615.53372989,41276.6163146,26540.7876594
4524.13958623,42402.5596449,26540.7876594
4434.55517681,39037.9497025,24985.2027652
4346.74466634,41509.9599039,24985.2027652
4260.67292908,42025.4724871,24985.2027652
4176.30553485,41035.3145273,24985.2027652
4093.60873522,48707.5084431,24985.2027652
4012.54945004,36903.4764279,24985.2027652
3933.0952542,37072.6095839,24985.2027652
3855.21436463,38878.7452316,24985.2027652
3778.87562763,41390.9417628,24985.2027652
3704.04850639,38608.3324203,24985.2027652
3630.70306875,42250.2888735,24985.2027652
3558.80997528,43334.2268461,24985.2027652
3488.34046748,46413.6938761,24985.2027652
3419.26635634,39692.5558536,24985.2027652
3351.56001101,44850.072503,24974.722453
3285.19434778,41542.656837,24974.722453
3220.14281923,41869.5237583,24974.722453
3156.37940363,42442.6309982,24974.722453
3093.8785945,42740.0788518,24974.722453
3032.61539044,27746.2493663,24974.722453
2972.5652851,39227.7175362,24974.722453
2913.7042574,33406.7789596,24974.722453
2856.00876191,38038.1650307,24627.3798337
2799.45571943,37704.3017962,24627.3798337
2744.02250776,35919.2953047,24627.3798337
2689.68695266,38194.2060826,24627.3798337
2636.42731896,40952.1796097,24627.3798337
2584.2223019,38125.6862395,24627.3798337
2533.05101854,34378.9333823,24627.3798337
2482.8929995,45808.7105679,24627.3798337
2433.7281807,34749.2378737,24627.3798337
2385.53689536,32697.0812218,24627.3798337
2338.29986612,33127.4507885,24627.3798337
2291.99819736,37796.856859,24627.3798337
2246.61336761,40278.9486875,24627.3798337
2202.12722216,36227.8562692,24627.3798337
2158.52196576,37116.2321801,24627.3798337
2115.78015556,37309.9603704,24473.7424875
2073.8846941,36247.7186401,23798.0251892
2032.81882246,31719.2324257,23798.0251892
1992.56611359,32674.0322301,23798.0251892
1953.11046571,32817.3271469,23798.0251892
1914.43609586,29140.951742,23798.0251892
1876.52753364,31428.4579238,22616.9900103
1839.36961496,41461.1433264,22616.9900103
1802.94747601,39536.8231132,22616.9900103
1767.2465473,32675.6595047,22616.9900103
