T,current_km,best_km
4999.9975,10187982.0131,10187617.6373
4995.00000042,9611181.53434,9555169.45953
4990.00749584,9188100.74153,9157570.18394
4985.01998127,8755420.7252,8755420.7252
4980.03745172,8668688.99526,8640642.87602
4975.05990222,8525764.82318,8398303.83574
4970.08732777,8254020.75644,8228536.32098
4965.11972342,8202523.66856,8185522.51138
4960.15708419,8184440.79249,8134307.94797
4955.19940512,8062581.92731,8033919.06825
4950.24668125,7977589.8464,7809881.25017
4945.29890763,7914566.09176,7809881.25017
4940.35607931,8068954.05775,7809881.25017
4935.41819136,8035394.458,7809881.25017
4930.48523882,7991629.44729,7809881.25017
4925.55721677,8022260.44244,7809881.25017
4920.63412028,7938157.32652,7809881.25017
4915.71594443,7835012.01736,7809881.25017
4910.8026843,7815474.32312,7787813.92306
4905.89433497,7763471.34971,7738067.13908
4900.99089154,7887122.14832,7738067.13908
4896.0923491,7785400.27491,7738067.13908
4891.19870276,7677366.01564,7633384.96425
4886.30994762,7644083.62543,7597910.14887
4881.4260788,7638978.82508,7574160.00602
4876.5470914,7683499.34764,7533560.31625
4871.67298055,7756373.61967,7533560.31625
4866.80374138,7829293.7375,7533560.31625
4861.93936901,7714093.38994,7533560.31625
4857.07985859,7832197.57793,7533560.31625
4852.22520525,7896588.7187,7533560.31625
4847.37540414,7962372.54843,7533560.31625
4842.5304504,7871733.24112,7533560.31625
4837.6903392,7651208.91568,7533560.31625
4832.85506569,7730010.44065,7533560.31625
4828.02462504,7659420.28302,7533560.31625
4823.19901242,7445634.64858,7394158.50691
4818.378223,7371530.60433,7369388.84156
4813.56225196,7563022.84094,7319843.64598
4808.75109449,7581663.04834,7319843.64598
4803.94474576,7509215.89197,7319843.64598
4799.14320099,7466699.61838,7319843.64598
4794.34645536,7507779.62192,7319843.64598
4789.55450409,7530253.65805,7319843.64598
4784.76734237,7488363.69303,7319843.64598
4779.98496541,7387562.38677,7319843.64598
4775.20736845,7508123.68918,7319843.64598
4770.4345467,7378580.15142,7299950.76461
4765.66649538,7260930.16218,7246393.84767
4760.90320974,7613981.44264,7241690.84016
4756.144685,7565620.04697,7241690.84016
4751.39091641,7492240.37438,7241690.84016
4746.64189921,7488362.84889,7241690.84016
4741.89762865,7554300.54692,7241690.84016
4737.1581,7628285.81416,7241690.84016
4732.42330851,7469215.95132,7241690.84016
4727.69324944,7552398.8128,7241690.84016
4722.96791807,7284083.22653,7241690.84016
4718.24730967,7182893.58244,7126782.91519
4713.53141952,7275136.61272,7126782.91519
4708.8202429,7289663.77978,7115543.85038
4704.11377511,7245103.69338,7115543.85038
4699.41201143,7304210.01367,7115543.85038
4694.71494717,7383524.53493,7115543.85038
4690.02257763,7145618.89818,7101565.02322
4685.33489811,7232826.21182,7101565.02322
4680.65190393,7118726.19525,7101565.02322
4675.9735904,7063768.29947,7030185.67449
4671.29995285,7044935.99751,6974038.5431
4666.6309866,7090583.27163,6944117.96168
4661.96668699,7093177.75554,6944117.96168
4657.30704934,7043256.9646,6944117.96168
4652.65206901,7006525.94094,6944117.96168
4648.00174133,7006019.22709,6944117.96168
4643.35606165,7233645.25425,6944117.96168
4638.71502534,7226018.48505,6944117.96168
4634.07862774,7229232.91635,6944117.96168
4629.44686422,7052948.64942,6944117.96168
4624.81973015,7067530.02768,6944117.96168
4620.19722091,6998308.76678,6944117.96168
4615.57933186,6944624.22884,6912077.93857
4610.9660584,6906037.55632,6901986.32223
4606.3573959,6938577.69356,6805562.38073
4601.75333977,6994031.33338,6805562.38073
4597.15388539,7067110.70731,6805562.38073
4592.55902817,7076117.41316,6805562.38073
4587.96876351,6887797.24578,6805562.38073
4583.38308682,6840968.53987,6778609.77468
4578.80199351,6961848.05902,6778609.77468
4574.22547902,6942013.14093,6778609.77468
4569.65353874,6943360.02982,6778609.77468
4565.08616813,6906649.22222,6778609.77468
4560.5233626,6929779.65337,6778609.77468
4555.96511761,6808828.57024,6778609.77468
4551.41142857,6975164.05018,6778609.77468
4546.86229096,6959444.80813,6778609.77468
4542.3177002,6998980.81067,6778609.77468
4537.77765177,6861119.63149,6778609.77468
4533.24214112,6934659.89023,6778609.77468
4528.71116371,6731047.46897,6731047.46897
4524.18471502,6799182.16108,6730213.04593
4519.66279051,6672721.45962,6672502.459
4515.14538567,6799446.05885,6639352.68031
4510.63249598,6898722.12718,6639352.68031
4506.12411692,6673096.70028,6639352.68031
4501.62024399,6632495.9502,6607327.09512
4497.12087268,6667744.57349,6607327.09512
4492.6259985,6841375.64655,6562888.96389
4488.13561694,6793342.52063,6562888.96389
4483.64972353,6736730.67145,6562888.96389
4479.16831376,6757879.19557,6562888.96389
4474.69138317,6555540.03679,6525477.47172
